dataset,latitude_half_width,start_year,end_year,variable,slope_C_per_decade,ci_low,ci_high,n_years,block_years,bootstrap_draws,r_squared
COBE-SST2,3,1993,2025,west,0.2092536160,0.1237379758,0.2959829279,33,5,5000,0.4543153108
COBE-SST2,3,1993,2025,east,0.0049453377,-0.2042358749,0.2067312423,33,5,5000,0.0000478354
COBE-SST2,3,1993,2025,gradient,0.2043082783,0.0131765043,0.4010149589,33,3,5000,0.0758994188
COBE-SST2,3,1993,2025,gradient,0.2043082783,0.0323215904,0.3839340987,33,5,5000,0.0758994188
COBE-SST2,3,1993,2025,gradient,0.2043082783,0.0471469430,0.3527164925,33,7,5000,0.0758994188
COBE-SST2,3,2000,2025,west,0.1738537743,0.0589481265,0.2891271384,26,5,5000,0.3081634523
COBE-SST2,3,2000,2025,east,0.0377548118,-0.2595697416,0.3199707233,26,5,5000,0.0020180811
COBE-SST2,3,2000,2025,gradient,0.1360989625,-0.1426983684,0.4048678285,26,3,5000,0.0284426925
COBE-SST2,3,2000,2025,gradient,0.1360989625,-0.1132338310,0.3869067408,26,5,5000,0.0284426925
COBE-SST2,3,2000,2025,gradient,0.1360989625,-0.0929257954,0.3570657167,26,7,5000,0.0284426925
COBE-SST2,5,1950,2025,west,0.1310306487,0.1030052828,0.1588865823,76,5,5000,0.6814410911
COBE-SST2,5,1950,2025,east,0.0676194140,0.0180487535,0.1177588263,76,5,5000,0.0544246934
COBE-SST2,5,1950,2025,gradient,0.0634112346,0.0054172318,0.1238611544,76,3,5000,0.0453047937
COBE-SST2,5,1950,2025,gradient,0.0634112346,0.0111663260,0.1147511928,76,5,5000,0.0453047937
COBE-SST2,5,1950,2025,gradient,0.0634112346,0.0125540189,0.1140721333,76,7,5000,0.0453047937
COBE-SST2,5,1979,2025,west,0.1861875945,0.1454471351,0.2251251593,47,5,5000,0.6587885677
COBE-SST2,5,1979,2025,east,0.0147667229,-0.0851185664,0.1147780564,47,5,5000,0.0010241828
COBE-SST2,5,1979,2025,gradient,0.1714208716,0.0548547389,0.2932414597,47,3,5000,0.1150934343
COBE-SST2,5,1979,2025,gradient,0.1714208716,0.0755193766,0.2621227088,47,5,5000,0.1150934343
COBE-SST2,5,1979,2025,gradient,0.1714208716,0.0861178435,0.2548883434,47,7,5000,0.1150934343
COBE-SST2,5,1993,2025,west,0.2091496909,0.1365847877,0.2815463529,33,5,5000,0.5079907845
COBE-SST2,5,1993,2025,east,0.0176589845,-0.1756242334,0.2079888621,33,5,5000,0.0007575900
COBE-SST2,5,1993,2025,gradient,0.1914907065,0.0081881556,0.3783191794,33,3,5000,0.0788825799
COBE-SST2,5,1993,2025,gradient,0.1914907065,0.0274651231,0.3627309117,33,5,5000,0.0788825799
COBE-SST2,5,1993,2025,gradient,0.1914907065,0.0403016998,0.3312724799,33,7,5000,0.0788825799
COBE-SST2,5,2000,2025,west,0.1785942470,0.0779695788,0.2792334102,26,5,5000,0.3747794208
COBE-SST2,5,2000,2025,east,0.0706563294,-0.2086322244,0.3339063608,26,5,5000,0.0085907890
COBE-SST2,5,2000,2025,gradient,0.1079379177,-0.1516353120,0.3627680213,26,3,5000,0.0215604089
COBE-SST2,5,2000,2025,gradient,0.1079379177,-0.1210410260,0.3464136694,26,5,5000,0.0215604089
COBE-SST2,5,2000,2025,gradient,0.1079379177,-0.1057834114,0.3136476744,26,7,5000,0.0215604089
