lat,lon,area_steradians
-2.0,140.0,0.0006088327988922007
-2.0,142.0,0.0012176655977844013
-2.0,144.0,0.0012176655977844013
-2.0,146.0,0.0012176655977844013
-2.0,148.0,0.0012176655977844013
-2.0,150.0,0.0012176655977844013
-2.0,152.0,0.0012176655977844013
-2.0,154.0,0.0012176655977844013
-2.0,156.0,0.0012176655977844013
-2.0,158.0,0.0012176655977844013
-2.0,160.0,0.0012176655977844013
-2.0,162.0,0.0012176655977844013
-2.0,164.0,0.0012176655977844013
-2.0,166.0,0.0012176655977844013
-2.0,168.0,0.0012176655977844013
-2.0,170.0,0.0006088327988922007
0.0,140.0,0.000609203909453701
0.0,142.0,0.001218407818907402
0.0,144.0,0.001218407818907402
0.0,146.0,0.001218407818907402
0.0,148.0,0.001218407818907402
0.0,150.0,0.001218407818907402
0.0,152.0,0.001218407818907402
0.0,154.0,0.001218407818907402
0.0,156.0,0.001218407818907402
0.0,158.0,0.001218407818907402
0.0,160.0,0.001218407818907402
0.0,162.0,0.001218407818907402
0.0,164.0,0.001218407818907402
0.0,166.0,0.001218407818907402
0.0,168.0,0.001218407818907402
0.0,170.0,0.000609203909453701
2.0,140.0,0.0006088327988922007
2.0,142.0,0.0012176655977844013
2.0,144.0,0.0012176655977844013
2.0,146.0,0.0012176655977844013
2.0,148.0,0.0012176655977844013
2.0,150.0,0.0012176655977844013
2.0,152.0,0.0012176655977844013
2.0,154.0,0.0012176655977844013
2.0,156.0,0.0012176655977844013
2.0,158.0,0.0012176655977844013
2.0,160.0,0.0012176655977844013
2.0,162.0,0.0012176655977844013
2.0,164.0,0.0012176655977844013
2.0,166.0,0.0012176655977844013
2.0,168.0,0.0012176655977844013
2.0,170.0,0.0006088327988922007
