lat,lon,area_steradians
-2.0,190.0,0.0006088327988922007
-2.0,192.0,0.0012176655977844013
-2.0,194.0,0.0012176655977844013
-2.0,196.0,0.0012176655977844013
-2.0,198.0,0.0012176655977844013
-2.0,200.0,0.0012176655977844013
-2.0,202.0,0.0012176655977844013
-2.0,204.0,0.0012176655977844013
-2.0,206.0,0.0012176655977844013
-2.0,208.0,0.0012176655977844013
-2.0,210.0,0.0012176655977844013
-2.0,212.0,0.0012176655977844013
-2.0,214.0,0.0012176655977844013
-2.0,216.0,0.0012176655977844013
-2.0,218.0,0.0012176655977844013
-2.0,220.0,0.0012176655977844013
-2.0,222.0,0.0012176655977844013
-2.0,224.0,0.0012176655977844013
-2.0,226.0,0.0012176655977844013
-2.0,228.0,0.0012176655977844013
-2.0,230.0,0.0012176655977844013
-2.0,232.0,0.0012176655977844013
-2.0,234.0,0.0012176655977844013
-2.0,236.0,0.0012176655977844013
-2.0,238.0,0.0012176655977844013
-2.0,240.0,0.0012176655977844013
-2.0,242.0,0.0012176655977844013
-2.0,244.0,0.0012176655977844013
-2.0,246.0,0.0012176655977844013
-2.0,248.0,0.0012176655977844013
-2.0,250.0,0.0012176655977844013
-2.0,252.0,0.0012176655977844013
-2.0,254.0,0.0012176655977844013
-2.0,256.0,0.0012176655977844013
-2.0,258.0,0.0012176655977844013
-2.0,260.0,0.0012176655977844013
-2.0,262.0,0.0012176655977844013
-2.0,264.0,0.0012176655977844013
-2.0,266.0,0.0012176655977844013
-2.0,268.0,0.0012176655977844013
-2.0,270.0,0.0006088327988922007
0.0,190.0,0.000609203909453701
0.0,192.0,0.001218407818907402
0.0,194.0,0.001218407818907402
0.0,196.0,0.001218407818907402
0.0,198.0,0.001218407818907402
0.0,200.0,0.001218407818907402
0.0,202.0,0.001218407818907402
0.0,204.0,0.001218407818907402
0.0,206.0,0.001218407818907402
0.0,208.0,0.001218407818907402
0.0,210.0,0.001218407818907402
0.0,212.0,0.001218407818907402
0.0,214.0,0.001218407818907402
0.0,216.0,0.001218407818907402
0.0,218.0,0.001218407818907402
0.0,220.0,0.001218407818907402
0.0,222.0,0.001218407818907402
0.0,224.0,0.001218407818907402
0.0,226.0,0.001218407818907402
0.0,228.0,0.001218407818907402
0.0,230.0,0.001218407818907402
0.0,232.0,0.001218407818907402
0.0,234.0,0.001218407818907402
0.0,236.0,0.001218407818907402
0.0,238.0,0.001218407818907402
0.0,240.0,0.001218407818907402
0.0,242.0,0.001218407818907402
0.0,244.0,0.001218407818907402
0.0,246.0,0.001218407818907402
0.0,248.0,0.001218407818907402
0.0,250.0,0.001218407818907402
0.0,252.0,0.001218407818907402
0.0,254.0,0.001218407818907402
0.0,256.0,0.001218407818907402
0.0,258.0,0.001218407818907402
0.0,260.0,0.001218407818907402
0.0,262.0,0.001218407818907402
0.0,264.0,0.001218407818907402
0.0,266.0,0.001218407818907402
0.0,268.0,0.001218407818907402
0.0,270.0,0.000609203909453701
2.0,190.0,0.0006088327988922007
2.0,192.0,0.0012176655977844013
2.0,194.0,0.0012176655977844013
2.0,196.0,0.0012176655977844013
2.0,198.0,0.0012176655977844013
2.0,200.0,0.0012176655977844013
2.0,202.0,0.0012176655977844013
2.0,204.0,0.0012176655977844013
2.0,206.0,0.0012176655977844013
2.0,208.0,0.0012176655977844013
2.0,210.0,0.0012176655977844013
2.0,212.0,0.0012176655977844013
2.0,214.0,0.0012176655977844013
2.0,216.0,0.0012176655977844013
2.0,218.0,0.0012176655977844013
2.0,220.0,0.0012176655977844013
2.0,222.0,0.0012176655977844013
2.0,224.0,0.0012176655977844013
2.0,226.0,0.0012176655977844013
2.0,228.0,0.0012176655977844013
2.0,230.0,0.0012176655977844013
2.0,232.0,0.0012176655977844013
2.0,234.0,0.0012176655977844013
2.0,236.0,0.0012176655977844013
2.0,238.0,0.0012176655977844013
2.0,240.0,0.0012176655977844013
2.0,242.0,0.0012176655977844013
2.0,244.0,0.0012176655977844013
2.0,246.0,0.0012176655977844013
2.0,248.0,0.0012176655977844013
2.0,250.0,0.0012176655977844013
2.0,252.0,0.0012176655977844013
2.0,254.0,0.0012176655977844013
2.0,256.0,0.0012176655977844013
2.0,258.0,0.0012176655977844013
2.0,260.0,0.0012176655977844013
2.0,262.0,0.0012176655977844013
2.0,264.0,0.0012176655977844013
2.0,266.0,0.0012176655977844013
2.0,268.0,0.0012176655977844013
2.0,270.0,0.0006088327988922007
